name,price,point,shipping,mall
[사미헌] 부산의 명물 사미헌 갈비탕 꼬리곰탕,"9,900",198P,무료배송,사미헌
[9/4 20%+10%쿠폰]이고진 요가용품 요가매트 폼롤러 필라테스링 짐볼 고무밴드 실내운,"12,900",645P,무료배송,이고진헬스
한국투자증권 온라인 금융상품권 50000원권,"50,000",645P,무료배송,쿠프마케팅_COOP
"[쿠폰혜택가 5,310원] 4+1 제주 서귀포 삼무호 옥돔 1마리(160g내외/중) 손질포장","7,800",156P,무료배송,제주_삼무호_선주
"[쿠폰가32,220원][무료포장] 락토핏 생유산균 골드 3통 총150포 / 옵션1번 선물포장","40,900",818P,무료배송,종근당건강본사직영
제주삼다수 2L x 12병/화산암반수/생수,"12,150",243P,무료배송,DS마트닷컴
[25%할인]아워홈 지리산수 2L x 24병,"13,200",264P,무료배송,십일초이스 생수
[9/4단하루 5%+20%]베베숲 시그니처 그린 70매 캡 외 10팩/20팩/전상품 모음전,"18,700",935P,무료배송,베베숲물티슈
[10%+20%]순수식품 500달톤 저분자 피쉬 콜라겐 6개월분(180정) 먹는콜라겐/석류콜라겐,"18,900",567P,무료배송,순수식품
[쿠폰10%+30%]단하루! 마녀공장 빅세일! 클렌징/알로에젤/비피다토너 외+증정,"10,800",216P,무료배송,마녀공장
바로냉동_통그릴 비엔나 6봉 Vs 쟌슨빌 소시지 1810g+마라막창160gx2 or 마라만두380g,"19,000",380P,무료배송,dongwonice
"가을룩준비 5,940/9,810 균일가! 로드블링 롱원피스/세트/티셔츠/후드롱/맨투맨/스커트","10,900",327P,무료배송,로드블링
"[9/4 단하루! 6,870원] 장흥무산김 김부각 85g / 3개 이상 무료배송 혜택","10,900",218P,무료배송,더신선
"[9/4(금) 단 하루, 10+20%] 페넬로페 물티슈 루이사+손세정티슈/로제 캡형 외 Best 모","19,300",386P,무료배송,더퍼스트터치
[아모제] 통살 새우볼 1kg 외 아모제 베스트 메뉴 모음전,"12,900",258P,무료배송,아모제푸드시스템
1+1 프랑스 무스텔라 베이비 스킨케어 모음 이드라베베/바디로션/젠틀 클렌징젤/올인원,"20,000",400P,무료배송,무스텔라공식스토어
[5만원권] 해피머니 온라인상품권 카드결제가능,"47,000",400P,무료배송,기프티콘_11번가
[1일 1000개 선착순 한정출발] 태안 자연산 활꽃게 2kg 6~10미 / 당일바리 햇꽃게 신선,"33,900",678P,무료배송,더신선
[9/4 쿠폰10%+20%] 2주잡티이별! 구달/더마토리/힐링버드1DAY~67% (청귤비타C/어성초진,"10,000",200P,무료배송,클럽클리오본사
[쉬즈미스X리스트] 지금부터 킹혜택! 가을 추가 30%,"15,200",304P,무료배송,인동FN
[~92%깜짝세일]리얼코코 가을룩&시즌오프/균일가가득! 원피스/자켓/니트/티셔츠/팬츠/,"14,900",298P,무료배송,리얼코코
"[혜택가 14,400원] 세사온라인/퓨어슬립 가을/간절기 알러지케어 차렵 누빔 이불 패드","12,000",240P,무료배송,SESA
[선출시!]BTS CUBIC PAINTING_2_3 방탄소년단 DIY 큐빅 페인팅,"34,000",680P,무료배송,아이러브페인팅
디즈니 쿨케어밴드 18매입 3팩세트,"7,900",158P,무료배송,골든윌
[쿠폰10%+25%+묶음15%] 정품증정! 릴리바이레드 NEW덴스에디션~64%(틴트/치크/섀도팔레,"7,900",158P,무료배송,릴리바이레드
"[쿠폰적용가4,590원]가을신상 허니삭스 벗겨지지않는덧신/페이크삭스/특허/학생/기본양","7,900",158P,무료배송,honeysocks
[NH카드20%][제주농협] 귤로장생 하우스감귤 2.5kg #로얄과 #소과,"19,900",398P,무료배송,제주농협
[NH카드20%]입안과즙가득!경북 햇사과 홍로 출시 5kg 가정용(20-27과),"22,900",458P,무료배송,아침햇살농장
아빠식당 국내산 닭볶음탕 1.1kg + 찜닭 1.1kg / 사은품 증정,"15,900",318P,무료배송,행복먹거리공작소
[빈폴스포츠] 역시즌+FW 필수아이템 준비! 다운/패딩/맨투맨/플리스/재킷/팬츠 外,"37,100",742P,무료배송,삼성물산본사_빈폴멘
[한정판] 삼양라면 이불베개슬리퍼,"12,000",742P,무료배송,나라홈데코
